item_no,field_name,description 
1,pcode_st,State_Region_Pcode
2,name_st,State_Region_Name
3,pcode_dt,District_Pcode
4,name_dt,District_Name
5,pcode_ts,Township_Pcode
6,name_ts,Township_Name
7,hh_t,Conventional_households-Number
8,hh_m,Conventional_households-Male_headed
9,hh_f,Conventional_households-Female_headed
10,pop_hh,Population_in-Conventional_households
11,pop_ins,Population_in-Institutions
12,mean_hhsize,Mean_household_size
13,hh_1,Households_consisting_of-1_person
14,hh_2,Households_consisting_of-2_persons
15,hh_3,Households_consisting_of-3_persons
16,hh_4,Households_consisting_of-4_persons
17,hh_5,Households_consisting_of-5_persons
18,hh_6,Households_consisting_of-6_persons
19,hh_7,Households_consisting_of-7_persons
20,hh_8,Households_consisting_of-8_persons
21,hh_9,Households_consisting_of-9_and_more
22,housing_t,Type_of_housing_unit-Total
23,housing_apt,Type_of_housing_unit-Apartment_Condominium
24,housing_bung,Type_of_housing_unit-Bungalow_Brick_house
25,housing_semi,Type_of_housing_unit-Semi_pacca_house
26,housing_wood,Type_of_housing_unit-Wooden_house
27,housing_bamb,Type_of_housing_unit-Bamboo
28,housing_hut23,Type_of_housing_unit-Hut_2_to_3_years
29,housing_hut1,Type_of_housing_unit-Hut_1_year
30,housing_oth,Type_of_housing_unit-Other
31,ownshp_t,Type_of_ownership-Total
32,ownshp_own,Type_of_ownership-Owner
33,ownshp_rent,Type_of_ownership-Renter
34,ownshp_free,Type_of_ownership-Provided_free_individually
35,ownshp_gov,Type_of_ownership-Government_Quarters
36,ownshp_com,Type_of_ownership-Private_Company_Quarters
37,ownshp_oth,Type_of_ownership-Other
38,toilet_t,Type_of_toilet-Total
39,toilet_flu,Type_of_toilet-Flush
40,toilet_seal,Type_of_toilet-Water_seal_Improved_pit_latrine
41,toilet_put,Type_of_toilet-Pit_Traditional_pit_latrine
42,toilet_buck,Type_of_toilet-Bucket_Surface_latrine
43,toilet_oth,Type_of_toilet-Other
44,toilet_non,Type_of_toilet-None
45,roof_t,Roof-Total
46,roof_dani,Roof-Dhani_Theke_In_leaf
47,roof_bamb,Roof-Bamboo
48,roof_wood,Roof-Wood
49,roof_corr,Roof-Corrugated_sheet
50,roof_tile,Roof-Tile_Brick_Concrete
51,roof_oth,Roof-Other
52,wall_t,Walls-Total
53,wall_dani,Walls-Dhani_Theke_In_leaf
54,wall_bamb,Walls-Bamboo
55,wall_earth,Walls-Earth
56,wall_wood,Walls-Wood
57,wall_corr,Walls-Corrugated_sheet
58,wall_tile,Walls-Tile_Brick_Concrete
59,wall_oth,Walls-Other
60,flr_t,Floors-Total
61,flr_bamb,Floors-Bamboo
62,flr_earth,Floors-Earth
63,flr_wood,Floors-Wood
64,flr_tile,Floors-Tile_Brick_Concrete
65,flr_oth,Floors-Other
66,light_t,Source_of_lighting-Total
67,light_elec,Source_of_lighting-Electricity
68,light_kero,Source_of_lighting-Kerosene
69,light_cand,Source_of_lighting-Candle
70,light_batt,Source_of_lighting-Battery
71,light_gen,Source_of_lighting-Generator_private
72,light_wat,Source_of_lighting-Water_mill_private
73,light_sol,Source_of_lighting-Solar_system_energy
74,light_oth,Source_of_lighting-Other
75,dwat_t,Source_of_drinking_water-Total
76,dwat_pipe,Source_of_drinking_water-Tap_water_Piped
77,dwat_bore,Source_of_drinking_water-Tube_well_borehole
78,dwat_pwell,Source_of_drinking_water-Protected_well_Spring
79,dwat_upwel,Source_of_drinking_water-Unprotected_well_Spring
80,dwat_pool,Source_of_drinking_water-Pool_Pond_Lake
81,dwat_river,Source_of_drinking_water-River_stream_canal
82,dwat_wfall,Source_of_drinking_water-Waterfall_Rain_water
83,dwat_bott,Source_of_drinking_water-Bottled_water_Water_purifier
84,dwat_tank,Source_of_drinking_water-Tanker_Truck
85,dwar_oth,Source_of_drinking_water-Other
86,ndwat_t,Source_of_non_drinking_water-Total
87,ndwat_tap,Source_of_non_drinking_water-Tap_water_Piped
88,ndwat_tube,"Source_of_non_drinking_water-Tube_well,_borehole"
89,ndwat_pwell,Source_of_non_drinking_water-Protected_well_Spring
90,ndwat_upwell,Source_of_non_drinking_water-Unprotected_well_Spring
91,ndwat_pool,Source_of_non_drinking_water-Pool_Pond_Lake
92,ndwat_river,Source_of_non_drinking_water-River_stream_canal
93,ndwat_wfall,Source_of_non_drinking_water-Waterfall_Rain_water
94,ndwat_bott,Source_of_non_drinking_water-Bottled_water_Water_purifier
95,ndwat_tank,Source_of_non_drinking_water-Tanker_Truck
96,ndwat_oth,Source_of_non_drinking_water-Other
97,cook_t,Type_of_cooking_fuel-Total
98,cook_elec,Type_of_cooking_fuel-Electricity
99,cook_lpg,Type_of_cooking_fuel-LPG
100,cook_kero,Type_of_cooking_fuel-Kerosene
101,cook_bio,Type_of_cooking_fuel-BioGas
102,cook_firew,Type_of_cooking_fuel-Firewood
103,cook_char,Type_of_cooking_fuel-Charcoal
104,cook_coal,Type_of_cooking_fuel-Coal
105,cook_straw,Type_of_cooking_fuel-Straw_Grass
106,cook_oth,Type_of_cooking_fuel-Other
107,com_t,Availability_of_communication_and_related_amenities-Conventional_households
108,com_radio,Availability_of_communication_and_related_amenities-Radio
109,com_tv,Availability_of_communication_and_related_amenities-Television
110,com_lline,Availability_of_communication_and_related_amenities-Land_line_phone
111,com_mob,Availability_of_communication_and_related_amenities-Mobile_phone
112,com_comp,Availability_of_communication_and_related_amenities-Computer
113,com_int,Availability_of_communication_and_related_amenities-Internet_at_home
114,trans_t,Availability_of_transportation_items-Conventional_households
115,trans_car,Availability_of_transportation_items-Car_Truck_Van
116,trans_mcyc,Availability_of_transportation_items-Motorcycle_Moped
117,trans_bicyc,Availability_of_transportation_items-Bicycle
118,trans_4wheel,Availability_of_transportation_items-4_Wheel_tractor
119,trans_canoe,Availability_of_transportation_items-Canoe_Boat
120,trans_mboat,Availability_of_transportation_items-Motor_boat
121,trans_cart,Availability_of_transportation_items-Cart_bullock
122,pop_t,Total_population-Both_sexes
123,pop_m,Total_population-Male
124,pop_f,Total_population-Female
125,pop_hh_m,Population_in_conventional_households-Male
126,pop_hh_f,Population_in_conventional_households-Female
127,pop_ins_m,Population_in_institutions-Male
128,pop_ins_f,Population_in_institutions-Female
129,pop_u,Urban_population-Both_sexes
130,pop_u_m,Urban_population-Male
131,pop_u_f,Urban_population-Female
132,pop_r,Rural_population-Both_sexes
133,pop_r_m,Rural_population-Male
134,pop_r_f,Rural_population-Female
135,pop_0_14,Selected_age_groups_and_dependency_ratios-0_14
